,ID,Medal
445,368,Na
446,370,Na
447,370,Na
448,371,Na
449,371,Na
450,372,Na
451,373,Na
452,373,Na
453,373,Na
454,374,Na
455,375,Na
456,376,Na
457,377,Na
458,379,Na
459,379,Bronze
460,380,Na
461,380,Na
462,381,Na
463,383,Na
464,383,Na
465,386,Na
466,386,Na
467,387,Na
468,388,Na
469,390,Na
470,391,Silver
471,393,Na
472,393,Na
473,394,Na
474,394,Silver
475,394,Na
476,394,Na
477,394,Na
478,394,Na
479,395,Na
480,395,Na
481,395,Bronze
482,395,Na
483,395,Na
484,396,Na
485,396,Na
486,396,Na
487,396,Na
488,396,Na
489,397,Na
490,397,Na
491,402,Na
492,402,Na
493,403,Na
494,403,Na
495,403,Na
496,403,Na
497,403,Na
498,405,Na
499,408,Na
500,410,Na
501,411,Gold
502,412,Na
503,413,Na
504,413,Na
505,413,Na
506,415,Na
507,416,Bronze
508,416,Silver
509,417,Na
510,419,Na
511,420,Na
512,421,Na
513,422,Na
514,422,Na
515,422,Na
516,422,Na
517,422,Na
518,423,Gold
519,427,Na
520,428,Na
521,428,Na
522,428,Silver
523,428,Na
524,429,Na
525,429,Na
526,430,Na
527,431,Na
528,432,Na
529,432,Na
530,432,Na
531,432,Na
532,433,Na
533,433,Na
534,433,Na
535,434,Na
536,435,Na
537,436,Na
538,439,Na
539,440,Na
540,441,Na
541,442,Na
542,443,Na
543,443,Gold
544,444,Na
545,444,Na
546,445,Na
547,446,Na
548,447,Na
549,447,Na
550,448,Na
551,449,Na
552,450,Na
553,451,Na
554,452,Na
555,452,Na
556,452,Na
557,454,Gold
558,455,Na
559,455,Bronze
560,455,Silver
561,455,Na
562,455,Na
563,455,Na
564,455,Silver
565,455,Na
566,455,Silver
567,455,Bronze
568,456,Na
569,457,Na
570,458,Na
571,459,Na
572,460,Na
573,460,Silver
574,460,Bronze
575,460,Na
576,461,Na
577,461,Na
578,462,Na
579,463,Na
580,463,Na
581,463,Na
582,464,Na
583,465,Na
584,465,Bronze
585,468,Na
586,469,Na
587,469,Na
588,469,Na
589,469,Na
590,469,Na
591,469,Na
592,470,Na
593,471,Na
594,471,Na
595,471,Na
596,473,Na
597,474,Na
598,476,Na
599,477,Na
600,479,Na
601,481,Na
602,481,Na
603,485,Na
604,486,Na
605,488,Na
606,488,Na
607,489,Na
608,490,Na
609,491,Na
610,493,Na
611,494,Na
612,495,Silver
613,495,Na
614,495,Na
615,495,Na
616,498,Na
617,501,Na
